mrts,revision,page,table_id,caption,value_text
MRTS30,March 2024,14,Table 5.4.1,(a) – Minimum frequency for sampling and testing asphalt,"Clause | Planning Documents
--- | ---
8 | Process control for surface preparation, tack coating, placing, joint construction, compaction and clean-up, including plant operating instructions, key temperature targets and records, patterns for paving and compaction operations, and process monitoring
8.3 | Allocation of appropriate plant and equipment, including backup in case of breakdown
8.3 | Compaction procedure and the factors affecting / determining rolling patterns
8.6.2 | Work method for placing corrective courses and tie-ins in nonconforming thicknesses (where applicable)
8.7 | Measurement and recording of pavement temperatures and weather conditions
8.8 | Paving and compaction temperatures
8.9 | Bituminous emulsion grade and application rate for tack coat
8.10 | Construction joints
8.11 | Design, execution and quality verification of a placement trial
9.4 | Requirements for course thickness"
MRTS30,March 2024,14,Table 5.4.1,(a) – Minimum frequency for sampling and testing asphalt,"Quantity of Asphalt Supplied in each Shift (tonnes) | Minimum Testing Frequency | Minimum Number of Tests
--- | --- | ---
≤ 10 | – | 01
11 – 20 | – | 12
21 – 100 | – | 1
101 – 500 | – | 23"
MRTS30,March 2024,15,Table 5.4.1,(b) – Asphalt production,"Quantity of Asphalt Supplied in each Shift (tonnes) | Minimum Testing Frequency | Minimum Number of Tests
--- | --- | ---
501 – 1000 | 1 per 250 tonnes | 3
1001 – 2100 | 1 per 350 tonnes | 5
> 2100 | 1 per 500 tonnes | 6"
MRTS30,March 2024,15,Table 5.4.1,(b) – Asphalt production,"Clause | Property | Test Method / Procedure | Minimum Testing Frequency
--- | --- | --- | ---
7.1.5 | Filler in asphalt – Voids in dry compacted filler (combined filler) | AS/NZS 1141.17 | Monthly for each mix design
7.1.5 | Filler in asphalt - Methylene blue value for the combined filler (excluding hydrated lime) | AS 1141.66 | Monthly for each mix design that contains materials which have a methylene blue value > 10 mg/g and ≤ 18 mg/g. Three monthly for each mix design that contains materials which have a methylene blue value ≤ 10 mg/g
7.1.5 | Filler in asphalt - Methylene blue value for the combined filler | AS 1141.66 | Monthly for mix designs that contain materials which have a methylene blue value for the combined filler (excluding hydrated lime) > 10 mg/g
7.2.1.1 and 7.4.3.2 | Combined particle size distribution | Q308A, AS/NZS 2891.3.1 or AG:PT/T234 | As per Table 5.4.1(a)
7.2.1.2 and 7.4.3.2 | Binder content (by mass) | Q308A, AS/NZS 2891.3.1 or AG:PT/T234 | As per Table 5.4.1(a)
7.4.3.2 | Maximum density | AS/NZS 2891.7.1 | As per Table 5.4.1(a)
7.2.2 | Air voids in laboratory compacted specimens: 120 cycles gyratory compaction or | AS/NZS 2891.2.2, AS/NZS 2891.7.1, AS/NZS 2891.9.2 and Q311 or AS/NZS 2891.8 | As per Table 5.4.1(a)
 | 50 blows per face Marshall compaction (Dense graded asphalt only) | Q305, AS/NZS 2891.7.1, AS/NZS 2891.9.2 and Q311 or AS/NZS 2891.8 |"
MRTS30,March 2024,16,Table 7.2.2,is,"Clause | Property | Test Method / Procedure | Minimum Testing Frequency
--- | --- | --- | ---
7.2.2 | Air voids in laboratory compacted specimens1: 350 cycles gyratory compaction (Heavy duty dense graded asphalt only - where conformance with the requirements of Table 7.2.2 is assessed using gyratory compaction) | AS/NZS 2891.2.2, AS/NZS 2891.7.1, AS/NZS 2891.9.2, and Q311 or AS/NZS 2891.8 | 1 per lot
7.2.2 | Air voids in laboratory compacted specimens (Stone mastic asphalt only) | Q305, AS/NZS 2891.7.1, AS/NZS 2891.9.2 or Q306C and Q311 or AS/NZS 2891.8 | As per Table 5.4.1(a)
7.2.2 | Air voids in laboratory compacted specimens (Open graded asphalt only) | Q305, AS/NZS 2891.7.1, AS/NZS 2891.9.3 and Q311 or AS/NZS 2891.8 | As per Table 5.4.1(a)
7.2.5 | Tensile strength ratio (Dense graded asphalt only) | ATM 232 | For each mix design and plant combination, once as part of the first lot incorporated into the Works and every 5000 tonnes thereafter2,3
7.2.7 | Deformation resistance (Heavy duty dense graded asphalt only - where conformance with the requirements of Table 7.2.2 is assessed using Marshall compaction) | ATM 231 | For each AC10H, AC14H and AC20H mix design, once as part of the first lot incorporated into the Works, and every 10,000 tonnes thereafter4
7.2.11 | Mix volume ratio (Stone mastic asphalt only) | Q318 | For each mix design, once as part of the first lot incorporated into the Works and every 5000 tonnes thereafter2,5
7.4.6 | Production temperature of asphalt | The Contractor's documented procedure | Frequency to be nominated in the Contractor' ITP
7.4.6 | Dispatch temperature of asphalt | The Contractor's documented procedure | Each delivered load"
MRTS30,March 2024,17,Table 5.4.1,(c) – Asphalt placement,"Clause | Property | Test Method / Procedures | Minimum Testing Frequency
--- | --- | --- | ---
8.7 | Pavement surface temperature | The Contractor’s documented procedure | One measurement every 2 hours
8.8 | Temperature of asphalt at initial compaction | The Contractor’s documented procedure | Each delivered load
8.9 | Tack coat application rate | The Contractor’s documented procedure | Each lot
9.1 | Homogeneity | Visual assessment | Each lot"
MRTS30,March 2024,17,Table 5.4.1,(d) – Finished pavement,"Clause | Property | Test Method | Lot Size | Minimum Number of Tests | Minimum Testing Frequency
--- | --- | --- | --- | --- | ---
8.11 | Bulk density (mat) (Open graded asphalt only) | AS 1289.1.4.2 AS/NZS 2891.1.2 and AS/NZS 2891.9.3 | All | First lot incorporated into the works: 5 per layer | N/A
9.2 | Insitu air voids (mat) (Dense graded asphalt only) | AS/NZS 2891.1.2 AS/NZS 2891.9.2, Q306C, Q306E or AS/NZS 2891.14.2 AS/NZS 2891.7.1 and Q311 or AS/NZS 2891.14.5 | ≤ 50 m² | 01 per layer | N/A
 |  |  | 51 – 500 m² | 3 per layer | N/A
 |  |  | 501 – 1000 m² | 4 per layer | N/A
 |  |  | 1001 – 5000 m² | 5 per layer | 1 per 500 m² per layer
 |  |  | > 5000 m² | 10 per layer | 1 per 1000 m² per layer
9.2 | Insitu air voids (mat) (Stone mastic asphalt only) | AS/NZS 2891.1.2 Q306C or Q306E AS/NZS 2891.7.1 and Q311 or AS/NZS 2891.8 | ≤ 50 m² | 01 per layer | N/A
 |  |  | 51 – 500 m² | 3 per layer | N/A
 |  |  | 501 – 1000 m² | 4 per layer | N/A
 |  |  | 1001 – 5000 m² | 5 per layer | 1 per 500 m² per layer
 |  |  | > 5000 m² | 10 per layer | 1 per 1000 m² per layer
9.3 | Surface texture depth (Stone mastic asphalt only) | ATM 250 | ≤ 50 m² | 01 per layer | N/A
 |  |  | 51 – 500 m² | 3 | N/A
 |  |  | 501 – 1000 m² | 4 | N/A
 |  |  | 1001 – 5000 m² | 5 | 1 per 500 m²
 |  |  | > 5000 m² | 10 | 1 per 1000 m²
9.4.2.2 | Vertical levels (where level control is specified) | Survey | For each course – as per MRTS56 Construction |  |"
MRTS30,March 2024,18,,,"Clause | Property | Test Method | Lot Size | Minimum Number of Tests | Minimum Testing Frequency
--- | --- | --- | --- | --- | ---
9.4.2.3 | Layer thickness (average) | Clause 9.4.2.4(a) | One calculation per lot where thickness control is specified |  | 
 | Layer thickness (individual locations) | Clause 9.4.2.3(b) | a) coring: as specified for insitu air voids, or b) measured dips: for each layer – three points on cross section per 20 lineal metres. Applications: • layers where thickness control is specified and the layer is placed over one or more layers placed by the Contractor |  | 
9.4.3 | Horizontal position | Contractor's documented procedure | For each layer – one test per 20 lineal metres at shoulder edge, lane lines and other changes in grade (where applicable) |  | 
9.5 | Surface shape (completed course level) | Q7123 | a) within lane: one per 20 metres along each paver run, unless otherwise approved by the Administrator2. Measurements shall be taken in both the transverse and longitudinal directions. b) longitudinal joint: one per 20 lineal metres along each joint, unless otherwise approved by the Administrator2. c) transverse joint: one measurement per joint in each wheel path in each lane. For all joints located within the works, place the straightedge on the road surface perpendicular to the joint. With the end of the straightedge directly over the joint, gradually move the straightedge across the joint for its full length and identify the point on the road surface that produces the largest deviation under the straightedge (between two points of contact). Record the deviation at this point. For all joints that tie the new works to existing pavement (not constructed under the Contract), place the straightedge on the road surface perpendicular to the joint. With the end of the straightedge directly over the joint and the other end located within the works, record the largest deviation under the straightedge (between two points of contact). |  | 
9.6 | Road roughness | Q708B, Q708C, or Q708D | The lot length shall be 100 m. |  |"
MRTS30,March 2024,23,Table 7.1.6,(a) – Binder class to be used for dense graded asphalt mixes containing RAP,"Asphalt Mix Characteristics |  | Binder Class to be Used in Mix |  |  |  |  |  |  |  |  |  |  |  |  | 
--- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---
 |  | Base, Intermediate and Corrector Courses |  |  |  |  |  |  |  |  |  | Surfacing Course |  |  | 
RAP Approval Level |  | 1 | 2 |  |  |  |  |  | 3 |  |  | 1S | 2S |  | 
Allowable percentage of RAP in mix (%) |  | 0 – 15 | 13 – 22 |  |  | 23 – 25 |  |  | 23 – 30 |  |  | 0 – 15 | 13 – 20 |  | 
Binder content of RAP1 (%) |  | Not applicable | 4.1 ± 0.5% |  |  |  |  |  |  |  |  | Not applicable | 4.1 ± 0.5% |  | 
Binder Class Specified | C320 | C320 | C240 |  |  | C170 |  |  | C170 |  |  | C320 | C240 |  | 
 | C450 | C450 | C320 |  |  | C240 |  |  | C240 |  |  | C450 | C320 |  | 
 | C600 | C600 | C450 |  |  | C320 |  |  | C320 |  |  | C600 | C450 |  | 
 | M1000 | M1000 |  |  |  |  |  |  |  |  |  | M1000 |  |  | 
 | PMB | PMB class specified |  |  |  |  |  |  |  |  |  | PMB class specified |  |  |"
MRTS30,March 2024,23,Table 7.1.6,(b) – Binder blend viscosity requirements for dense graded asphalt mixes,"Specified Binder Class | Binder Blend Viscosity (Pa.s)
--- | ---
C320 | 320 – 500
C450 | 430 – 640
C600 | 600 – 880"
MRTS30,March 2024,25,Table 7.2.1.1,(a) – Particle size distribution limits for dense graded asphalt,"Test Sieve Size (mm) | Particle Size Distribution Limits (% Passing by Mass) for Different Asphalt Nominal Size (Asphalt Designation) |  |  | 
--- | --- | --- | --- | ---
 | 7 mm (AC7M and AC7H) | 10 mm (AC10M and AC10H) | 14 mm (AC14M and AC14H) | 20 mm (AC20M and AC20H)
26.5 |  |  |  | 100
19.0 |  |  | 100 | 80 – 100
13.2 |  | 100 | 80 – 100 | 65 – 93
9.50 | 100 | 80 – 100 | # | #
6.70 | 80 – 100 | 65 – 90 | 55 – 80 | 45 – 70
4.75 | # | # | 40 – 65 | #
2.36 | 45 – 65 | 35 – 65 | 25 – 45 | 20 – 40
1.18 | # | # | # | #
0.600 | 15 – 40 | 15 – 35 | 10 – 30 | 5 – 25
0.300 | # | # | # | #
0.150 | # | # | # | #
0.075 | 3 – 11 | 3 – 11 | 2 – 8 | 2 – 8"
MRTS30,March 2024,25,Table 7.2.1.1,(b) – Particle size distribution limits for open graded asphalt and stone mastic,"Test Sieve Size (mm) | Particle Size Distribution Limits (% Passing by Mass) for Different Asphalt Nominal Size (Asphalt Designation) |  |  | 
--- | --- | --- | --- | ---
 | Open Graded Asphalt |  | Stone Mastic Asphalt1 | 
 | 10 mm (OG10) | 14 mm (OG14) | 10 mm (SMA10) | 14 mm (SMA14)
19.0 |  | 100 |  | 100
13.2 | 100 | 85 – 100 | 100 | 84 – 100
9.50 | 85 – 100 | 40 – 76 | 85 – 100 | 40 – 65
6.70 | 40 – 75 | 20 – 47 | 40 – 62 | 25 – 45
4.75 | 20 – 46 | 9 – 30 | 25 – 45 | 18 – 32"
MRTS30,March 2024,26,Table 7.2.1.2,(a) – Minimum dense graded asphalt binder content,"Test Sieve Size (mm) | Particle Size Distribution Limits (% Passing by Mass) for Different Asphalt Nominal Size (Asphalt Designation) |  |  | 
--- | --- | --- | --- | ---
 | Open Graded Asphalt |  | Stone Mastic Asphalt1 | 
 | 10 mm (OG10) | 14 mm (OG14) | 10 mm (SMA10) | 14 mm (SMA14)
2.36 | 4 – 20 | 3 – 17 | 18 – 31 | 14 – 28
1.18 | 2 – 16 | 1 – 14 | 142 – 28 | 122 – 24
0.600 | # | # | 122 – 24 | 102 – 20
0.300 | 0 – 10 | 0 – 9 | 102 – 20 | 92 – 17
0.150 | # | # | 8.02 – 17.0 | 7.52 – 14.5
0.075 | 0.5 – 5.5 | 0.5 – 5.5 | 6.5 – 12.5 | 6.5 – 12.5"
MRTS30,March 2024,26,Table 7.2.1.2,(a) for dense graded,"Asphalt Type | Minimum Binder Content for Different Asphalt Nominal Size (Asphalt Designation) |  |  | 
--- | --- | --- | --- | ---
Nominal Size of Asphalt (Asphalt Designation) | 7 mm (AC7M and AC7H) | 10 mm (AC10M and AC10H) | 14 mm (AC14M and AC14H) | 20 mm AC20M and AC20H)
Effective Binder Volume (%)1 | ≥ 11.5 (≥ 11.0) | ≥ 11.0 (≥ 10.5) | ≥ 10.5 (≥ 10.0) | ≥ 10.0 (≥ 9.5)"
MRTS30,March 2024,27,Table 7.2.1.2,(b) – Minimum open graded asphalt and stone mastic asphalt binder content,"Asphalt Type | Minimum Binder Content for Different Asphalt Nominal Size (Asphalt Designation) |  |  | 
--- | --- | --- | --- | ---
Nominal Size of Asphalt (Asphalt Designation) | 10 mm (OG10) | 14 mm (OG14) | 10 mm (SMA10) | 14 mm (SMA14)
Effective Binder Volume (%)1 | ≥ 9.0 (≥ 8.5) | ≥ 8.0 (≥ 7.5) | ≥ 14.5 (≥ 14.0) | ≥ 13.5 (≥ 13.0)"
MRTS30,March 2024,27,Table 7.2.1.3,.1(b).,"RAP Approval Level | Maximum Percentage1 (%) | Testing Required (Table 7.2.1.3.1(b))
--- | --- | ---
Surfacing Course |  | 
1S | 15 | Section A
2S | 20 | Sections A & B
Other than Surfacing Course |  | 
1 | 15 | Section A
2 | 25 | Sections A & B
3 | 30 | Sections A & B
4 | 40 | Sections A & B"
MRTS30,March 2024,28,Table 7.2.1.3,.1(b) – RAP level progression criteria,"|  | 
--- | --- | ---
 | It is recommended that requests to progress to a higher Approval Level be submitted to the Asphalt | 
 | Mix Design Registrar not less than 28 days prior to the asphalt being incorporated into the Works. | 
 | This will allow sufficient time for review of the RAP management plan (including its implementation), | 
 | the mix design and the plant capability to be evaluated without the Works being delayed. | 
 | The RAP management plan should be consistent with the requirements of MRTS102 Reclaimed | 
 | Asphalt Pavement Material and AfPA publication – Reclaimed Asphalt Pavement (RAP) | 
 | Management Plan. | 
 |  |"
MRTS30,March 2024,28,Table 7.2.1.3,.1(b) – RAP level progression criteria,"Submission Type | Testing
--- | ---
Section A | 
Mix design submission | Binder content and grading of RAP in accordance with Q308A or AS/NZS 2891.3.1
Contract testing frequency (each Lot of RAP used in asphalt production) | Binder content and grading of RAP in accordance with Q308A or AS/NZS 2891.3.1
Contract testing frequency (daily on RAP incorporated into asphalt) | a) moisture content of RAP in accordance with AS/NZS 2891.10 b) visual monitoring of incoming RAP by a person experienced in the process. Visual monitoring must include an assessment for the presence of foreign and/or deleterious materials
Section B | 
Mix design submission | Recovered binder viscosity of RAP in accordance with ATM 192
Contract testing frequency (refer MRTS102) | Where method 2 is used to control the binder blend viscosity, recovered binder viscosity for RAP in accordance with ATM 192"
MRTS30,March 2024,29,Table 7.2.1.3,.1(a). RAP shall not,"|  | 
--- | --- | ---
 | Where the pavement design is reliant on the enhanced fatigue performance of the polymer | 
 | modified binder, this Technical Specification does not allow RAP to be included in these mixes | 
 | unless the Contractor can demonstrate the performance characteristics of the asphalt mix have not | 
 | been adversely affected by the inclusion of RAP. Fatigue and resilient modulus testing of the mix, | 
 | with and without RAP, would typically be required to demonstrate the performance characteristics | 
 | of the asphalt mix have not been adversely affected. Mix designs meeting these requirements will | 
 | be identified on the asphalt mix design register. | 
 |  |"
MRTS30,March 2024,30,Table 7.2.1.6,Proportion of additive in warm mix asphalt,"Additive | Proportion
--- | ---
Wax | 1.0 – 2.0% by mass of binder
Surfactants | 0.4 – 0.8% by mass of binder
Water (either directly, or in the form of water containing crystals) | 1.0 – 3.0% by mass of the binder"
MRTS30,March 2024,30,Table 7.2.2,(a) – Requirements for laboratory compacted specimens,"Asphalt Type | Laboratory Compaction Method1 | Air Voids in Laboratory Compacted Speciments2 | Applicable Test Methods
--- | --- | --- | ---
Medium duty dense graded asphalt | Marshall compaction (50 blows per face) or gyratory compaction (120 cycles) | 3.0 – 6.0 | • AS/NZS 2891.2.2, or Q305 • AS/NZS 2891.7.1 • AS/NZS 2891.8 or Q311 and • AS/NZS 2891.9.2
Heavy duty dense graded asphalt | Marshall compaction (50 blows per face) | 3.0 – 6.5 | 
 | Gyratory compaction (120 cycles) and (350 cycles) | 3.0 – 6.0 ≥ 2.03 | 
Stone mastic asphalt | Marshall compaction (50 blows per face) | 2.0 – 5.0 | • Q305 • AS/NZS 2891.7.1 • AS/NZS 2891.8 or Q311 and • AS/NZS 2891.9.2 or Q306C
Open graded asphalt | Marshall compaction (50 blows per face) | ≥ 20.0 | • Q305 • AS/NZS 2891.7.1 • AS/NZS 2891.8 or Q311 and • AS/NZS 2891.9.3"
MRTS30,March 2024,31,Table 7.2.2,"(b) – Design mix requirements for binder film, index, filler / binder ratio and fixed","Property | Test Method | Asphalt Mix Type |  | 
--- | --- | --- | --- | ---
 |  | Dense Graded Asphalt | Stone Mastic Asphalt | Open Graded Asphalt
Binder film index | Q317, AS/NZS 2891.8 or AGPT/T237 | > 7.5 (> 7.1)1 | – | > 16.0 (> 15.0)
Filler / binder ratio | N/A2 | 1.0 – 1.3 | – | –
Fixed binder fraction | Q321 | – | ≤ 0.553 | –"
MRTS30,March 2024,31,Table 7.2.2,"(b) – Design mix requirements for binder film, index, filler / binder ratio and fixed","|  | 
--- | --- | ---
 | For dense graded asphalt and stone mastic asphalt, air voids in laboratory compacted specimens | 
 | below the minimum value(s) may lead to rutting, flushing, bleeding and/or mix instability. Factors | 
 | that influence the performance of the asphalt include: | 
 | • the magnitude of the nonconformance | 
 | • traffic loading | 
 | • depth of the layer from the pavement surface, and | 
 | • the binder used in the asphalt mix. | 
 |  |"
